run 1 zoom-row-axis stage0-5c1b915: ok True, frame time median 6.1 p95 12.2, notMeasured 0, doubts 1
    doubt: [1920x1600] the ceiling cycles while notches go in (zoomY 4.47, 4.72, 4.47, 4.72, 4.47, 4.72, 4.47); the highest reading is used
    ceiling: ['1920x1080: the row-area ceiling holds; "past the ceiling" inputs halve at the tip', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 1 zoom-row-axis tip-f45e9cd7: ok True, frame time median 6.1 p95 6.2, notMeasured 0, doubts 0
    ceiling: ['1920x1080: the font ceiling (or S-98) holds; at the tip "past the ceiling" inputs return at wanted <= drawn (:3170) and never halve', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 1 dependency-drag stage0-5c1b915: ok True, frame time median 12.1 p95 24.3, notMeasured 0, doubts 0
run 1 dependency-drag tip-f45e9cd7: ok True, frame time median 24.1 p95 24.4, notMeasured 0, doubts 0
run 2 zoom-row-axis stage0-5c1b915: ok True, frame time median 6.15 p95 12.2, notMeasured 0, doubts 1
    doubt: [1920x1600] the ceiling cycles while notches go in (zoomY 4.47, 4.72, 4.47, 4.72, 4.47, 4.72, 4.47); the highest reading is used
    ceiling: ['1920x1080: the row-area ceiling holds; "past the ceiling" inputs halve at the tip', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 2 zoom-row-axis tip-f45e9cd7: ok True, frame time median 6.1 p95 6.2, notMeasured 0, doubts 0
    ceiling: ['1920x1080: the font ceiling (or S-98) holds; at the tip "past the ceiling" inputs return at wanted <= drawn (:3170) and never halve', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 2 dependency-drag stage0-5c1b915: ok True, frame time median 12.1 p95 24.2, notMeasured 0, doubts 0
run 2 dependency-drag tip-f45e9cd7: ok True, frame time median 24.2 p95 24.4, notMeasured 0, doubts 0
run 3 zoom-row-axis stage0-5c1b915: ok True, frame time median 6.1 p95 12.2, notMeasured 0, doubts 1
    doubt: [1920x1600] the ceiling cycles while notches go in (zoomY 4.47, 4.72, 4.47, 4.72, 4.47, 4.72, 4.47); the highest reading is used
    ceiling: ['1920x1080: the row-area ceiling holds; "past the ceiling" inputs halve at the tip', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 3 zoom-row-axis tip-f45e9cd7: ok True, frame time median 6.1 p95 6.3, notMeasured 0, doubts 0
    ceiling: ['1920x1080: the font ceiling (or S-98) holds; at the tip "past the ceiling" inputs return at wanted <= drawn (:3170) and never halve', '1920x400: the row-area ceiling holds; "past the ceiling" inputs halve at the tip (one layout + one + about 18)', '"under the ceiling" zoom-ins cost one layout (:3171) at the tip and none for the ceiling at 5c1b915; both builds add one layout per change in rowHeldStill']
run 3 dependency-drag stage0-5c1b915: ok True, frame time median 12.1 p95 24.2, notMeasured 0, doubts 0
run 3 dependency-drag tip-f45e9cd7: ok True, frame time median 24.1 p95 24.4, notMeasured 0, doubts 0

## zoom-row-axis (runs that reported ok only)

| section | metric | build | median per run | p95 per run | median min-max | p95 min-max |
|---|---|---|---:|---:|---:|---:|
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | frameTime | stage0-5c1b915 | 6.1 / 6.2 / 6.1 | 12.2 / 12.2 / 12.2 | 6.1-6.2 ms | 12.2-12.2 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | frameTime | tip-f45e9cd7 | 6.1 / 6.1 / 6.1 | 6.2 / 6.3 / 6.3 | 6.1-6.1 ms | 6.2-6.3 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | insideRedrawCallback | stage0-5c1b915 | 7.1 / 7.3 / 7.2 | 8.3 / 8.7 / 8.6 | 7.1-7.3 ms | 8.3-8.7 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | insideRedrawCallback | tip-f45e9cd7 | 4.2 / 4 / 4.1 | 5.4 / 5.2 / 5.1 | 4-4.2 ms | 5.1-5.4 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | synchronousDispatch | stage0-5c1b915 | 0.5 / 0.5 / 0.5 | 0.7 / 0.7 / 0.8 | 0.5-0.5 ms | 0.7-0.8 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | synchronousDispatch | tip-f45e9cd7 | 0.6 / 0.5 / 0.5 | 0.9 / 0.7 / 0.7 | 0.5-0.6 ms | 0.7-0.9 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | inputToRedrawCallbackEnd | stage0-5c1b915 | 7.6 / 7.9 / 7.8 | 8.9 / 9.4 / 9.2 | 7.6-7.9 ms | 8.9-9.4 ms |
| [1920x1080] MK-4 at the ceiling: out 1 notch / in 2 notches | inputToRedrawCallbackEnd | tip-f45e9cd7 | 4.8 / 4.6 / 4.7 | 6.3 / 6.2 / 6.3 | 4.6-4.8 ms | 6.2-6.3 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | frameTime | stage0-5c1b915 | 6.1 / 6.1 / 6.1 | 12.2 / 12.2 / 12.2 | 6.1-6.1 ms | 12.2-12.2 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | frameTime | tip-f45e9cd7 | 6.1 / 6.1 / 6.1 | 6.2 / 6.2 / 6.3 | 6.1-6.1 ms | 6.2-6.3 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | insideRedrawCallback | stage0-5c1b915 | 6.9 / 7.1 / 6.8 | 7.7 / 8.2 / 7.8 | 6.8-7.1 ms | 7.7-8.2 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | insideRedrawCallback | tip-f45e9cd7 | 3.2 / 3.2 / 3.3 | 3.7 / 4 / 3.8 | 3.2-3.3 ms | 3.7-4 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | synchronousDispatch | stage0-5c1b915 | 0.5 / 0.5 / 0.5 | 0.6 / 0.7 / 0.7 | 0.5-0.5 ms | 0.6-0.7 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | synchronousDispatch | tip-f45e9cd7 | 0.4 / 0.4 / 0.4 | 0.5 / 0.6 / 0.6 | 0.4-0.4 ms | 0.5-0.6 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | inputToRedrawCallbackEnd | stage0-5c1b915 | 7.4 / 7.7 / 7.4 | 8.2 / 8.8 / 8.4 | 7.4-7.7 ms | 8.2-8.8 ms |
| [1920x1080] MK-4 6 notches under the ceiling: in 1 notch / out 1 notch | inputToRedrawCallbackEnd | tip-f45e9cd7 | 3.7 / 3.7 / 3.8 | 5.6 / 5.8 / 5.8 | 3.7-3.8 ms | 5.6-5.8 ms |
